"Id","Latitude","Longitude","Perzone"
"AAB-S25R5",65.679338,-37.899467,"Isolated"
"AAB-S26R1",65.676587,-37.932246,"Isolated"
"AAB-S26R2",65.676528,-37.932201,"Isolated"
"AAB-S26R3",65.676558,-37.932175,"Isolated"
"AAB-S26R4",65.676545,-37.932335,"Isolated"
"AAB-S26R5",65.676655,-37.932375,"Isolated"
"AAB-S27R1",65.614318,-37.699111,"Isolated"
"AAB-S27R2",65.614394,-37.698992,"Isolated"
"AAB-S27R3",65.614384,-37.699152,"Isolated"
"AAB-S27R4",65.614413,-37.699136,"Isolated"
"AAB-S27R5",65.614361,-37.699084,"Isolated"
"AAB-S28R1",65.623247,-37.680327,"Isolated"
"AAB-S28R2",65.623254,-37.680268,"Isolated"
"AAB-S28R3",65.623239,-37.680175,"Isolated"
"AAB-S28R4",65.623232,-37.680099,"Isolated"
"AAB-S28R5",65.623233,-37.680241,"Isolated"
"AAB-S29R1",65.62619,-37.665221,"Isolated"
"AAB-S29R2",65.626184,-37.665318,"Isolated"
"AAB-S29R3",65.626234,-37.665274,"Isolated"
"AAB-S29R4",65.626235,-37.665148,"Isolated"
"AAB-S29R5",65.626215,-37.665188,"Isolated"
"AAB-S31R1",67.08520099,-50.30051901,"Continuous"
"AAB-S31R2",67.08520099,-50.30051901,"Continuous"
"AAB-S31R3",67.08520099,-50.30051901,"Continuous"
"AAB-S32R1",67.06174901,-50.38984604,"Continuous"
"AAB-S32R2",67.06174901,-50.38984604,"Continuous"
"AAB-S32R3",67.06174901,-50.38984604,"Continuous"
"AAB-S33R1",67.03752698,-50.57027497,"Continuous"
"AAB-S33R2",67.03752698,-50.57027497,"Continuous"
"AAB-S33R3",67.03752698,-50.57027497,"Continuous"
"ANP-S42R1",69.27,-53.491,"Discontinuous"
"ANP-S42R2",69.27,-53.491,"Discontinuous"
"ANP-S42R3",69.27,-53.491,"Discontinuous"
"ANP-S42R4",69.27,-53.491,"Discontinuous"
"ANP-S42R5",69.27,-53.491,"Discontinuous"
"ANP-S43R1",69.2652,-53.4671,"Discontinuous"
"ANP-S43R2",69.2652,-53.4671,"Discontinuous"
"ANP-S43R3",69.2652,-53.4671,"Discontinuous"
"ANP-S43R4",69.2652,-53.4671,"Discontinuous"
"ANP-S43R5",69.2652,-53.4671,"Discontinuous"
"DAS-S51R1",77.4773,-69.2168,"Continuous"
"DAS-S51R2",77.47735,-69.21672,"Continuous"
"DAS-S51R3",77.47727,-69.21668,"Continuous"
"DAS-S51R4",77.47733,-69.21648,"Continuous"
"DAS-S51R5",77.47728,-69.21703,"Continuous"
"DAS-S52R1",77.500867,-69.155467,"Continuous"
"DAS-S52R2",77.5008,-69.155567,"Continuous"
"DAS-S52R3",77.500717,-69.155433,"Continuous"
"DAS-S52R4",77.500733,-69.155933,"Continuous"
"DAS-S52R5",77.500867,-69.156183,"Continuous"
"DAS-S53R1",77.493333,-69.184433,"Continuous"
"DAS-S53R2",77.4933,-69.184633,"Continuous"
"DAS-S53R3",77.493233,-69.18495,"Continuous"
"DAS-S53R4",77.4934,-69.185,"Continuous"
"DAS-S53R5",77.49325,-69.184417,"Continuous"
"JFJ-S34R1",65.9648,-37.1111,"Sporadic"
"JFJ-S34R2",65.9649,-37.1112,"Sporadic"
"JFJ-S34R3",65.9648,-37.1115,"Sporadic"
"JFJ-S34R4",65.9649,-37.1116,"Sporadic"
"JFJ-S34R5",65.9648,-37.1116,"Sporadic"
"JFJ-S35R1",65.9785,-37.0837,"Sporadic"
"JFJ-S35R2",65.9785,-37.0835,"Sporadic"
"JFJ-S35R3",65.9785,-37.0834,"Sporadic"
"JFJ-S35R4",65.9786,-37.0832,"Sporadic"
"JFJ-S35R5",65.9786,-37.0831,"Sporadic"
"JFJ-S36R1",65.9483,-36.6701,"Sporadic"
"JFJ-S36R2",65.9483,-36.6702,"Sporadic"
"JFJ-S36R3",65.9483,-36.6703,"Sporadic"
"JFJ-S36R4",65.9483,-36.6705,"Sporadic"
"JFJ-S36R5",65.9482,-36.6705,"Sporadic"
"JFJ-S37R1",66.0451,-37.9288,"Sporadic"
"JFJ-S37R2",66.0452,-37.9288,"Sporadic"
"JFJ-S37R3",66.0452,-37.9286,"Sporadic"
"JFJ-S37R4",66.0453,-37.9288,"Sporadic"
"JFJ-S37R5",66.0453,-37.9286,"Sporadic"
"JFJ-S38R1",65.5623,-37.1771,"Isolated"
"JFJ-S38R2",65.5623,-37.1772,"Isolated"
"JFJ-S38R3",65.5622,-37.1773,"Isolated"
"JFJ-S38R4",65.5621,-37.1771,"Isolated"
"JFJ-S38R5",65.5621,-37.1769,"Isolated"
"KKK-S54R1",65.78798,-52.65552,"Sporadic"
"KKK-S54R2",65.78787,-52.65552,"Sporadic"
"KKK-S54R3",65.78805,-52.65503,"Sporadic"
"KKK-S55R1",65.579,-52.75486,"Sporadic"
"KKK-S55R2",65.57916,-52.75467,"Sporadic"
"KKK-S55R3",65.57922,-52.75519,"Sporadic"
"KKK-S56R1",64.07246,-51.02612,"Sporadic"
"KKK-S56R2",64.07264,-51.0262,"Sporadic"
"KKK-S56R3",64.07243,-51.02675,"Sporadic"
"KKK-S57R1",63.38746,-50.78231,"Sporadic"
"KKK-S57R2",63.38728,-50.7821,"Sporadic"
"KKK-S57R3",63.3875,-50.78184,"Sporadic"
"KKK-S58R1",62.99023,-49.79928,"Sporadic"
"KKK-S58R2",62.99039,-49.79911,"Sporadic"
"KKK-S58R3",62.99031,-49.79962,"Sporadic"
"KKK-S59R1",63.05969,-49.78088,"Sporadic"
"KKK-S59R2",63.05974,-49.78127,"Sporadic"
"KKK-S59R3",63.05999,-49.78082,"Sporadic"
"KKK-S60R1",60.97168,-47.05438,"Isolated"
"KKK-S60R2",60.97182,-47.05449,"Isolated"
"KKK-S60R3",60.97187,-47.05402,"Isolated"
"KKK-S61R1",60.95152,-46.93861,"Isolated"
"KKK-S61R2",60.95137,-46.9391,"Isolated"
"KKK-S61R3",60.95159,-46.93929,"Isolated"
"LAL-S44R1",59.96858,-43.8197,"Isolated"
"LAL-S44R2",59.96853,-43.81973333,"Isolated"
"LAL-S44R3",59.9684833,-43.81973333,"Isolated"
"LAL-S44R4",59.96843333,-43.81971667,"Isolated"
"LAL-S44R5",59.96836667,-43.8197,"Isolated"
"LAL-S45R1",60.58288333,-45.0524,"Isolated"
"LAL-S45R2",60.58295,-45.05228333,"Isolated"
"LAL-S45R3",60.58305,-45.05211667,"Isolated"
"LAL-S45R4",60.58311667,-45.05201667,"Isolated"
"LAL-S45R5",60.58313333,-45.05188333,"Isolated"
"NKL-S46R1",72.809231,-55.054267,"Continuous"
"NKL-S46R2",72.809231,-55.054267,"Continuous"
"NKL-S46R3",72.809231,-55.054267,"Continuous"
"NKL-S47R1",72.764833,-53.942683,"Continuous"
"NKL-S47R2",72.764833,-53.942683,"Continuous"
"NKL-S47R3",72.764833,-53.942683,"Continuous"
"PGN-S62R1",69.20602,-51.10254,"Continuous"
"PGN-S62R2",69.20601,-51.10267,"Continuous"
